# http://www.xmltvepg.nl/rytecTNT_Basic.xz
BFMTV.fr, C.BFMTV
France4.fr, C.Fr4
TMC.fr, C.TMC
Gulli.fr, C.Gulli
T18.fr, C.T18
France3.fr, C.fr3
France5.fr, C.fr5
CStar.fr, C.Cstar
TFX.fr, C.TFX
France2.fr, C.fr2
CNews.fr, C.Cnews
Franceinfo.fr, C.frinfo
TF1.fr, C.TF1
TF1SeriesFilms.fr, C.TF1seriesfilms
6ter.fr, C.6ter
RMCStory.fr, C.RMCstory
Lequipe.fr, C.Lequipe
RMCdecouverte.fr, C.RMCdecouverte
RMCLife.fr, C.RMClife
W9.fr, C.W9
M6.fr, C.M6
LCI.fr, C.LCI
ARTE.fr, C.Arte
LaChaineParlementaire.fr, C.LCP
France3NouvelleAquitaine.fr, C.fr3noa
# http://www.xmltvepg.nl/rytecFR_Mixte.xz
FigaroTV.fr, C.Figaro
BFMGrandsReportages.fr, C.BFMgrandsreportages
TECH_CO.fr, C.Tech_co
TV7Bordeaux.fr, C.TV7bordeaux
MCM.fr, C.MCM_fr
NOVO19.fr, C.NOVO19
# http://www.xmltvepg.nl/rytecBE_FR_Common.xz
Animaux.fr, C.Animaux_fr
Mezzo.fr, C.Mezzo
PlanetePlus.fr, C.Planeteplus_fr
# http://www.xmltvepg.nl/rytecCH_Basic.xz
RSILa2.ch, C.RSIla2_ch
RTSDeux.ch, C.RTS2_ch
carac5.ch, C.carac5
carac4.ch, C.carac4
carac3.ch, C.carac3
carac2.ch, C.carac2
carac1.ch, C.carac1
# http://www.xmltvepg.nl/rytecNWS.xz
France24fr.fr, C.France24_fr
EuronewsFR.nws, C.euronews_fr
TV5MondeFBS.fr, C.TV5mondeFBS_fr
TV5MondeEurope.fr, C.TV5mondeeurope_fr
# https://github.com/Catch-up-TV-and-More/xmltv/raw/master/tv_guide_fr.xml
C1403.api.telerama.fr, C.6ter
C4.api.telerama.fr, C.fr2
